best_fitness:23100.75783674021|best_individual:[[4780.00 HP]~[16.32 EM]~[6.48 ER]~[11.08 ATK%]~[14.39 CR]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3230786.441745735|mean:10769.28813915245
best_fitness:23100.75783674021|best_individual:[[4780.00 HP]~[4.53 ER]~[22.59 DEF%]~[5.83 ATK%]~[8.74 HP%]-[311.00 ATK]~[64.81 DEF]~[11.66 DEF%]~[5.25 HP%]~[37.30 EM]-[51.80 ER]~[17.51 ATK]~[16.33 ATK%]~[9.32 HP%]~[6.22 CR]-[46.60 Electro]~[10.50 HP%]~[7.00 CR]~[20.20 CD]~[5.83 ATK%]-[187.00 EM]~[8.16 HP%]~[12.39 DEF%]~[11.66 ATK%]~[39.35 DEF]]|sum:3227898.81873692|mean:10759.662729123067
best_fitness:23100.75783674021|best_individual:[[4780.00 HP]~[4.53 ER]~[22.59 DEF%]~[5.83 ATK%]~[8.74 HP%]-[311.00 ATK]~[64.81 DEF]~[11.66 DEF%]~[5.25 HP%]~[37.30 EM]-[51.80 ER]~[17.51 ATK]~[16.33 ATK%]~[9.32 HP%]~[6.22 CR]-[46.60 Electro]~[10.50 HP%]~[7.00 CR]~[20.20 CD]~[5.83 ATK%]-[187.00 EM]~[8.16 HP%]~[12.39 DEF%]~[11.66 ATK%]~[39.35 DEF]]|sum:3253110.823280423|mean:10843.702744268077
best_fitness:23100.75783674021|best_individual:[[4780.00 HP]~[3.50 CR]~[29.18 ATK]~[14.57 ATK%]~[9.71 ER]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 ATK%]~[20.20 CD]~[10.49 HP%]~[13.62 ATK]~[14.58 DEF%]-[187.00 EM]~[9.33 CR]~[17.49 DEF%]~[5.83 HP%]~[5.18 ER]-[62.20 CD]~[8.74 HP%]~[16.32 EM]~[16.76 DEF%]~[6.61 CR]]|sum:3289270.9795078738|mean:10964.23659835958
best_fitness:23100.75783674021|best_individual:[[4780.00 HP]~[3.50 CR]~[29.18 ATK]~[14.57 ATK%]~[9.71 ER]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 ATK%]~[20.20 CD]~[10.49 HP%]~[13.62 ATK]~[14.58 DEF%]-[187.00 EM]~[9.33 CR]~[17.49 DEF%]~[5.83 HP%]~[5.18 ER]-[62.20 CD]~[8.74 HP%]~[16.32 EM]~[16.76 DEF%]~[6.61 CR]]|sum:3264457.023702003|mean:10881.52341234001
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3277825.006567492|mean:10926.083355224973
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3259089.237723841|mean:10863.630792412803
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3224195.5974251274|mean:10747.318658083757
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3206043.9438544936|mean:10686.813146181645
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3244756.1891226703|mean:10815.853963742235
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3235505.0465314323|mean:10785.016821771442
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3256509.984783721|mean:10855.033282612403
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3205185.6250769766|mean:10683.952083589922
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3198134.736629365|mean:10660.449122097883
best_fitness:23146.871035091677|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:3190878.670025044|mean:10636.262233416814
