best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3156749.5657511745|mean:10522.498552503916
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3164280.832421623|mean:10547.602774738743
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3182589.3970552897|mean:10608.631323517633
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3191666.577728282|mean:10638.888592427607
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3220871.8026338685|mean:10736.239342112895
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3211002.2318398347|mean:10703.340772799449
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3212772.033638497|mean:10709.240112128324
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3202978.2292127097|mean:10676.594097375699
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3240031.3224313357|mean:10800.104408104453
best_fitness:21396.477374606286|best_individual:[[4780.00 HP]~[17.49 ER]~[18.65 EM]~[9.91 HP%]~[31.13 ATK]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[58.30 Physical]~[9.32 ATK%]~[2.72 CR]~[13.40 HP%]~[10.36 ER]-[62.20 CD]~[50.58 ATK]~[13.85 DEF%]~[7.00 CR]~[18.52 DEF]]|sum:3254989.095869785|mean:10849.963652899283
