best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5825383.605121875|mean:19417.94535040625
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5790497.849625001|mean:19301.659498750003
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5790858.437371875|mean:19302.861457906252
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5814491.193534376|mean:19381.637311781255
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5791338.164831251|mean:19304.460549437503
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5815855.596731251|mean:19386.185322437505
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5852517.040921876|mean:19508.390136406255
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5837862.856284375|mean:19459.54285428125
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5812751.6269875|mean:19375.838756625002
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5830957.1890124995|mean:19436.523963375
