best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[3.11 CR]~[52.52 ATK]~[5.25 ATK%]~[19.43 CD]-[311.00 ATK]~[3.89 CR]~[12.96 ER]~[12.39 DEF%]~[19.43 CD]-[46.60 ATK%]~[3.89 CR]~[75.86 ATK]~[8.74 HP%]~[5.83 ER]-[46.60 Geo]~[9.33 ATK%]~[16.91 HP%]~[13.62 ATK]~[13.21 CD]-[35.90 Healing]~[10.36 ER]~[13.85 DEF%]~[9.33 HP%]~[6.22 CR]]|sum:5771255.5186125|mean:19237.518395375002
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[16.32 EM]~[13.21 CD]~[9.71 ER]~[13.99 HP%]-[311.00 ATK]~[5.83 ATK%]~[60.61 EM]~[12.43 CD]~[12.39 DEF%]-[46.60 ATK%]~[12.39 DEF%]~[3.89 CR]~[10.50 HP%]~[62.94 EM]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[187.00 EM]~[5.44 CD]~[3.89 CR]~[21.13 DEF%]~[39.35 DEF]]|sum:5773661.126850001|mean:19245.5370895
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[16.32 EM]~[13.21 CD]~[9.71 ER]~[13.99 HP%]-[311.00 ATK]~[5.83 ATK%]~[60.61 EM]~[12.43 CD]~[12.39 DEF%]-[46.60 ATK%]~[12.39 DEF%]~[3.89 CR]~[10.50 HP%]~[62.94 EM]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[187.00 EM]~[5.44 CD]~[3.89 CR]~[21.13 DEF%]~[39.35 DEF]]|sum:5749112.008856251|mean:19163.706696187503
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[16.32 EM]~[13.21 CD]~[9.71 ER]~[13.99 HP%]-[311.00 ATK]~[5.83 ATK%]~[60.61 EM]~[12.43 CD]~[12.39 DEF%]-[46.60 ATK%]~[12.39 DEF%]~[3.89 CR]~[10.50 HP%]~[62.94 EM]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[187.00 EM]~[5.44 CD]~[3.89 CR]~[21.13 DEF%]~[39.35 DEF]]|sum:5754735.6567750005|mean:19182.45218925
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[3.11 CR]~[15.54 ER]~[13.99 ATK%]~[5.25 HP%]-[311.00 ATK]~[8.74 ATK%]~[57.87 DEF]~[12.96 ER]~[3.11 CR]-[51.80 ER]~[33.07 ATK]~[20.98 EM]~[15.17 CR]~[4.08 ATK%]-[46.60 ATK%]~[41.96 EM]~[17.51 ATK]~[17.49 ER]~[13.12 DEF%]-[187.00 EM]~[18.65 CD]~[9.91 ATK%]~[5.83 DEF%]~[9.91 HP%]]|sum:5791098.6179625|mean:19303.662059875
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[3.11 CR]~[15.54 ER]~[13.99 ATK%]~[5.25 HP%]-[311.00 ATK]~[8.74 ATK%]~[57.87 DEF]~[12.96 ER]~[3.11 CR]-[51.80 ER]~[33.07 ATK]~[20.98 EM]~[15.17 CR]~[4.08 ATK%]-[46.60 ATK%]~[41.96 EM]~[17.51 ATK]~[17.49 ER]~[13.12 DEF%]-[187.00 EM]~[18.65 CD]~[9.91 ATK%]~[5.83 DEF%]~[9.91 HP%]]|sum:5798674.12925625|mean:19328.913764187502
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[46.60 HP%]~[6.48 ER]~[12.39 DEF%]~[3.89 CR]~[79.26 EM]-[46.60 Pyro]~[24.87 CD]~[5.83 HP%]~[31.12 ATK]~[20.98 EM]-[31.10 CR]~[33.07 ATK]~[11.66 ER]~[17.49 DEF%]~[4.08 ATK%]]|sum:5770084.400587501|mean:19233.614668625003
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[3.89 CR]~[55.95 EM]~[16.19 ER]~[4.08 ATK%]-[311.00 ATK]~[6.99 CD]~[7.39 CR]~[79.26 EM]~[4.66 ATK%]-[187.00 EM]~[19.24 HP%]~[10.20 DEF%]~[6.99 CD]~[4.66 ATK%]-[46.60 Geo]~[9.33 ATK%]~[16.91 HP%]~[13.62 ATK]~[13.21 CD]-[46.60 ATK%]~[17.51 ATK]~[21.57 HP%]~[6.99 CD]~[37.30 EM]]|sum:5777420.3650125|mean:19258.067883375003
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[5.83 ER]~[9.91 HP%]~[18.65 CD]~[33.07 ATK]-[311.00 ATK]~[16.32 ATK%]~[7.39 CR]~[5.18 ER]~[41.66 DEF]-[187.00 EM]~[38.90 ATK]~[13.40 ATK%]~[6.22 CD]~[12.96 ER]-[46.60 Geo]~[4.66 ATK%]~[22.02 ER]~[5.10 DEF%]~[7.78 CR]-[46.60 ATK%]~[57.86 DEF]~[12.31 ER]~[6.22 CD]~[39.63 EM]]|sum:5767915.170609375|mean:19226.38390203125
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[5.83 ER]~[9.91 HP%]~[18.65 CD]~[33.07 ATK]-[311.00 ATK]~[16.32 ATK%]~[7.39 CR]~[5.18 ER]~[41.66 DEF]-[187.00 EM]~[38.90 ATK]~[13.40 ATK%]~[6.22 CD]~[12.96 ER]-[46.60 Geo]~[4.66 ATK%]~[22.02 ER]~[5.10 DEF%]~[7.78 CR]-[46.60 ATK%]~[57.86 DEF]~[12.31 ER]~[6.22 CD]~[39.63 EM]]|sum:5748748.886221876|mean:19162.496287406255
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[17.49 DEF%]~[5.83 CR]~[19.45 ATK]~[11.01 ER]-[311.00 ATK]~[27.19 CD]~[3.50 CR]~[5.83 DEF%]~[12.31 ER]-[58.30 DEF%]~[23.31 EM]~[5.83 ER]~[14.57 HP%]~[10.11 CR]-[58.30 Physical]~[41.96 EM]~[9.33 ATK%]~[20.21 CD]~[5.83 DEF%]-[187.00 EM]~[32.40 DEF]~[20.41 DEF%]~[13.21 CD]~[3.50 CR]]|sum:5737108.0491|mean:19123.693497
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[7.39 CR]~[18.65 EM]~[39.35 DEF]~[18.14 ER]-[311.00 ATK]~[12.05 CR]~[6.48 ER]~[9.91 HP%]~[7.29 DEF%]-[58.30 DEF%]~[4.53 ER]~[39.35 DEF]~[11.66 HP%]~[9.33 CR]-[58.30 Physical]~[20.98 EM]~[15.56 ATK]~[41.67 DEF]~[22.67 ER]-[46.60 ATK%]~[20.83 DEF]~[14.58 DEF%]~[10.36 ER]~[10.11 CR]]|sum:5743059.964950001|mean:19143.533216500004
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[7.39 CR]~[18.65 EM]~[39.35 DEF]~[18.14 ER]-[311.00 ATK]~[12.05 CR]~[6.48 ER]~[9.91 HP%]~[7.29 DEF%]-[58.30 DEF%]~[4.53 ER]~[39.35 DEF]~[11.66 HP%]~[9.33 CR]-[58.30 Physical]~[20.98 EM]~[15.56 ATK]~[41.67 DEF]~[22.67 ER]-[46.60 ATK%]~[20.83 DEF]~[14.58 DEF%]~[10.36 ER]~[10.11 CR]]|sum:5717806.781953125|mean:19059.35593984375
