best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5818000.745278126|mean:19393.335817593754
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5828520.528403126|mean:19428.401761343754
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5837105.558643751|mean:19457.018528812503
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5794644.925575001|mean:19315.483085250005
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5750750.179903125|mean:19169.167266343753
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5767236.454481251|mean:19224.121514937502
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5786843.809293751|mean:19289.4793643125
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5810426.501428125|mean:19368.088338093752
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5828477.435315626|mean:19428.258117718753
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5834462.938425001|mean:19448.209794750004
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[5.25 HP%]~[15.16 ATK%]~[60.61 EM]~[5.83 DEF%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5797444.70881875|mean:19324.815696062502
