best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5789025.713709376|mean:19296.75237903125
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5775131.995321875|mean:19250.43998440625
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5783817.153618751|mean:19279.390512062502
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5801776.197834375|mean:19339.25399278125
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5787646.734909376|mean:19292.155783031252
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5814783.973040625|mean:19382.61324346875
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5812674.946640626|mean:19375.58315546875
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5854909.341|mean:19516.36447
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5866417.730250001|mean:19554.725767500004
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5867586.3133875|mean:19558.621044625
best_fitness:27937.218496875004|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[46.60 Pyro]~[11.66 ER]~[29.18 ATK]~[37.30 EM]~[39.35 DEF]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5832796.24989375|mean:19442.6541663125
