best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5786601.093815625|mean:19288.67031271875
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5770216.214737501|mean:19234.054049125003
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5795593.607221875|mean:19318.64535740625
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5774516.6513812505|mean:19248.388837937502
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5794303.98320625|mean:19314.3466106875
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5826196.6702875|mean:19420.655567625
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5807785.782375001|mean:19359.285941250004
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5812460.748646876|mean:19374.869162156254
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5800093.032534376|mean:19333.643441781252
best_fitness:27678.659971875004|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[6.56 DEF%]~[39.35 DEF]~[9.33 ATK%]~[60.61 EM]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5806432.786171876|mean:19354.775953906254
