best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[44.29 EM]~[11.66 DEF%]~[16.20 DEF]~[14.58 HP%]-[311.00 ATK]~[4.08 ATK%]~[13.85 DEF%]~[6.48 ER]~[21.57 HP%]-[46.60 HP%]~[12.31 ER]~[58.28 EM]~[10.49 ATK%]~[3.89 CR]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[21.14 DEF%]~[11.01 ER]~[11.08 ATK%]~[18.52 DEF]]|sum:5809517.744259376|mean:19365.059147531254
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[7.29 DEF%]~[83.34 DEF]~[3.89 CR]~[41.96 EM]-[311.00 ATK]~[10.50 CR]~[5.10 DEF%]~[5.83 ATK%]~[64.82 DEF]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[37.03 DEF]~[56.41 ATK]~[6.48 ER]~[13.85 DEF%]-[35.90 Healing]~[33.07 ATK]~[12.39 DEF%]~[16.19 ER]~[6.22 CD]]|sum:5797328.737715626|mean:19324.429125718754
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[7.29 DEF%]~[83.34 DEF]~[3.89 CR]~[41.96 EM]-[311.00 ATK]~[10.50 CR]~[5.10 DEF%]~[5.83 ATK%]~[64.82 DEF]-[187.00 EM]~[9.33 HP%]~[18.95 DEF%]~[7.39 CR]~[5.25 ATK%]-[46.60 ATK%]~[37.03 DEF]~[56.41 ATK]~[6.48 ER]~[13.85 DEF%]-[35.90 Healing]~[33.07 ATK]~[12.39 DEF%]~[16.19 ER]~[6.22 CD]]|sum:5826571.199915625|mean:19421.90399971875
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[7.00 CR]~[9.91 ATK%]~[32.64 EM]~[12.31 ER]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[187.00 EM]~[24.05 DEF%]~[10.49 ATK%]~[5.18 ER]~[5.83 HP%]-[187.00 EM]~[11.66 ATK%]~[7.00 CR]~[11.08 HP%]~[39.35 DEF]]|sum:5811764.288306251|mean:19372.547627687505
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[7.00 CR]~[9.91 ATK%]~[32.64 EM]~[12.31 ER]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[187.00 EM]~[24.05 DEF%]~[10.49 ATK%]~[5.18 ER]~[5.83 HP%]-[187.00 EM]~[11.66 ATK%]~[7.00 CR]~[11.08 HP%]~[39.35 DEF]]|sum:5811428.4157125|mean:19371.428052375
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[7.00 CR]~[9.91 ATK%]~[32.64 EM]~[12.31 ER]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[187.00 EM]~[24.05 DEF%]~[10.49 ATK%]~[5.18 ER]~[5.83 HP%]-[187.00 EM]~[11.66 ATK%]~[7.00 CR]~[11.08 HP%]~[39.35 DEF]]|sum:5866744.7307375|mean:19555.815769124998
best_fitness:27605.148234375003|best_individual:[[4780.00 HP]~[7.00 CR]~[9.91 ATK%]~[32.64 EM]~[12.31 ER]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[187.00 EM]~[24.05 DEF%]~[10.49 ATK%]~[5.18 ER]~[5.83 HP%]-[187.00 EM]~[11.66 ATK%]~[7.00 CR]~[11.08 HP%]~[39.35 DEF]]|sum:5857738.275450001|mean:19525.794251500003
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[10.49 ATK%]~[11.66 ER]~[20.98 CD]~[7.29 DEF%]-[46.60 HP%]~[13.21 CD]~[6.56 DEF%]~[16.20 DEF]~[76.93 EM]-[46.60 HP%]~[27.20 CD]~[18.65 EM]~[39.35 DEF]~[13.62 ATK]]|sum:5874561.056343751|mean:19581.870187812503
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[13.12 DEF%]~[11.66 CD]~[11.66 ER]~[10.50 ATK%]-[311.00 ATK]~[10.93 DEF%]~[4.08 HP%]~[50.92 DEF]~[13.98 CD]-[187.00 EM]~[13.85 DEF%]~[7.78 CR]~[13.62 ATK]~[15.16 ATK%]-[58.30 Physical]~[8.74 ATK%]~[6.99 CD]~[9.32 HP%]~[18.95 DEF%]-[46.60 HP%]~[6.56 DEF%]~[50.58 ATK]~[39.35 DEF]~[13.21 CD]]|sum:5875558.534575|mean:19585.19511525
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[5.83 ER]~[12.82 ATK%]~[13.99 HP%]~[17.51 ATK]-[311.00 ATK]~[8.16 HP%]~[53.62 EM]~[11.08 ATK%]~[5.10 DEF%]-[46.60 HP%]~[10.49 ATK%]~[11.66 ER]~[20.98 CD]~[7.29 DEF%]-[46.60 Hydro]~[12.39 DEF%]~[5.18 ER]~[8.74 ATK%]~[9.72 CR]-[46.60 HP%]~[14.58 DEF%]~[29.18 ATK]~[10.11 CR]~[6.99 CD]]|sum:5861251.629525|mean:19537.50543175
