best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[11.66 HP%]~[11.01 ER]~[5.83 ATK%]~[62.94 EM]-[311.00 ATK]~[7.77 CD]~[10.49 HP%]~[6.22 CR]~[15.54 ER]-[58.30 DEF%]~[9.71 ER]~[17.51 ATK]~[3.50 CR]~[27.97 CD]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[187.00 EM]~[9.32 ATK%]~[39.35 DEF]~[8.74 HP%]~[13.21 CD]]|sum:5741022.549121875|mean:19136.741830406252
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[5.25 HP%]~[21.37 ER]~[13.12 DEF%]~[5.25 ATK%]-[311.00 ATK]~[9.91 ATK%]~[32.64 EM]~[13.99 CD]~[12.39 DEF%]-[46.60 ATK%]~[43.98 DEF]~[18.22 DEF%]~[5.83 CR]~[4.66 HP%]-[46.60 Geo]~[9.33 ATK%]~[16.91 HP%]~[13.62 ATK]~[13.21 CD]-[187.00 EM]~[5.83 DEF%]~[34.72 DEF]~[21.57 HP%]~[2.72 CR]]|sum:5740416.077287501|mean:19134.720257625002
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[7.29 DEF%]~[60.61 EM]~[16.33 ATK%]~[7.77 CD]-[187.00 EM]~[41.67 DEF]~[12.39 DEF%]~[14.89 ER]~[19.45 ATK]-[58.30 DEF%]~[16.32 EM]~[11.66 CD]~[36.96 ATK]~[11.28 CR]-[46.60 ATK%]~[5.83 HP%]~[6.48 ER]~[53.24 DEF]~[9.72 CR]]|sum:5756498.037309376|mean:19188.326791031253
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[7.29 DEF%]~[60.61 EM]~[16.33 ATK%]~[7.77 CD]-[187.00 EM]~[41.67 DEF]~[12.39 DEF%]~[14.89 ER]~[19.45 ATK]-[58.30 DEF%]~[16.32 EM]~[11.66 CD]~[36.96 ATK]~[11.28 CR]-[46.60 ATK%]~[5.83 HP%]~[6.48 ER]~[53.24 DEF]~[9.72 CR]]|sum:5743935.134859376|mean:19146.450449531254
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[13.21 CD]~[41.67 DEF]~[31.12 ATK]~[32.64 EM]-[311.00 ATK]~[7.78 CR]~[16.32 EM]~[13.99 HP%]~[37.03 DEF]-[187.00 EM]~[19.24 HP%]~[10.20 DEF%]~[6.99 CD]~[4.66 ATK%]-[46.60 ATK%]~[44.29 EM]~[5.10 DEF%]~[11.66 HP%]~[67.13 DEF]-[31.10 CR]~[46.69 ATK]~[17.10 CD]~[18.52 DEF]~[20.98 EM]]|sum:5707130.469525|mean:19023.76823175
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[9.91 ATK%]~[55.95 EM]~[10.20 DEF%]~[6.48 ER]-[311.00 ATK]~[2.72 CR]~[22.67 ER]~[6.99 CD]~[34.72 DEF]-[187.00 EM]~[16.91 HP%]~[12.39 DEF%]~[13.99 CD]~[3.89 CR]-[46.60 Electro]~[12.31 ER]~[21.76 CD]~[4.08 HP%]~[41.67 DEF]-[31.10 CR]~[34.72 DEF]~[13.40 HP%]~[6.48 ER]~[10.20 DEF%]]|sum:5710457.509368751|mean:19034.858364562504
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[50.92 DEF]~[9.72 CR]~[13.62 ATK]~[20.98 EM]-[311.00 ATK]~[6.22 CD]~[6.48 ER]~[55.95 EM]~[15.16 ATK%]-[187.00 EM]~[10.36 ER]~[5.83 CR]~[57.87 DEF]~[13.62 ATK]-[58.30 Physical]~[71.75 DEF]~[6.22 CR]~[19.45 ATK]~[6.56 DEF%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5714558.957343751|mean:19048.529857812504
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[50.92 DEF]~[9.72 CR]~[13.62 ATK]~[20.98 EM]-[311.00 ATK]~[6.22 CD]~[6.48 ER]~[55.95 EM]~[15.16 ATK%]-[187.00 EM]~[10.36 ER]~[5.83 CR]~[57.87 DEF]~[13.62 ATK]-[58.30 Physical]~[71.75 DEF]~[6.22 CR]~[19.45 ATK]~[6.56 DEF%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5716444.279921876|mean:19054.814266406254
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[50.92 DEF]~[9.72 CR]~[13.62 ATK]~[20.98 EM]-[311.00 ATK]~[6.22 CD]~[6.48 ER]~[55.95 EM]~[15.16 ATK%]-[187.00 EM]~[10.36 ER]~[5.83 CR]~[57.87 DEF]~[13.62 ATK]-[58.30 Physical]~[71.75 DEF]~[6.22 CR]~[19.45 ATK]~[6.56 DEF%]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5734151.736553125|mean:19113.83912184375
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[18.52 DEF]~[13.98 CD]~[13.99 ATK%]~[33.07 ATK]-[311.00 ATK]~[2.72 CR]~[20.20 CD]~[6.56 DEF%]~[60.18 DEF]-[46.60 HP%]~[9.33 CR]~[6.22 CD]~[50.92 DEF]~[20.98 EM]-[58.30 Physical]~[11.66 HP%]~[54.46 ATK]~[3.11 CR]~[41.66 DEF]-[31.10 CR]~[21.37 ER]~[4.08 HP%]~[5.10 DEF%]~[29.18 ATK]]|sum:5687205.620053126|mean:18957.352066843752
