best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[19.43 CD]~[37.04 DEF]~[5.25 ATK%]~[10.93 DEF%]-[311.00 ATK]~[11.66 ER]~[21.87 DEF%]~[5.83 ATK%]~[39.63 EM]-[51.80 ER]~[18.65 EM]~[33.07 ATK]~[5.25 ATK%]~[25.64 CD]-[58.30 DEF%]~[5.25 HP%]~[12.83 CR]~[33.07 ATK]~[4.53 ER]-[187.00 EM]~[12.43 CD]~[10.49 ATK%]~[6.48 ER]~[18.95 DEF%]]|sum:5754814.238287501|mean:19182.714127625004
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[6.22 CD]~[39.63 EM]~[15.16 ATK%]~[35.01 ATK]-[311.00 ATK]~[37.30 EM]~[64.82 DEF]~[12.39 DEF%]~[5.44 CD]-[46.60 HP%]~[4.53 ER]~[26.24 DEF%]~[16.32 EM]~[13.99 CD]-[46.60 ATK%]~[7.00 CR]~[13.99 HP%]~[36.96 ATK]~[18.52 DEF]-[35.90 Healing]~[34.97 EM]~[9.72 CR]~[12.43 CD]~[18.52 DEF]]|sum:5744198.129437501|mean:19147.327098125003
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[6.22 CD]~[39.63 EM]~[15.16 ATK%]~[35.01 ATK]-[311.00 ATK]~[37.30 EM]~[64.82 DEF]~[12.39 DEF%]~[5.44 CD]-[46.60 HP%]~[4.53 ER]~[26.24 DEF%]~[16.32 EM]~[13.99 CD]-[46.60 ATK%]~[7.00 CR]~[13.99 HP%]~[36.96 ATK]~[18.52 DEF]-[35.90 Healing]~[34.97 EM]~[9.72 CR]~[12.43 CD]~[18.52 DEF]]|sum:5730943.836421875|mean:19103.14612140625
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[3.50 CR]~[15.16 HP%]~[65.27 EM]~[16.20 DEF]-[311.00 ATK]~[5.83 ATK%]~[13.98 CD]~[4.53 ER]~[24.78 DEF%]-[187.00 EM]~[6.61 CR]~[7.77 CD]~[9.71 ER]~[17.49 ATK%]-[58.30 Physical]~[21.14 DEF%]~[8.74 HP%]~[4.53 ER]~[41.96 EM]-[35.90 Healing]~[55.56 DEF]~[7.77 CD]~[11.66 DEF%]~[10.36 ER]]|sum:5751222.936421875|mean:19170.74312140625
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[3.50 CR]~[15.16 HP%]~[65.27 EM]~[16.20 DEF]-[311.00 ATK]~[5.83 ATK%]~[13.98 CD]~[4.53 ER]~[24.78 DEF%]-[187.00 EM]~[6.61 CR]~[7.77 CD]~[9.71 ER]~[17.49 ATK%]-[58.30 Physical]~[21.14 DEF%]~[8.74 HP%]~[4.53 ER]~[41.96 EM]-[35.90 Healing]~[55.56 DEF]~[7.77 CD]~[11.66 DEF%]~[10.36 ER]]|sum:5725815.125287501|mean:19086.050417625003
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[3.50 CR]~[14.57 ATK%]~[22.53 CD]~[5.83 DEF%]-[311.00 ATK]~[12.43 CD]~[6.61 CR]~[50.92 DEF]~[6.56 DEF%]-[58.30 DEF%]~[19.43 CD]~[20.83 DEF]~[23.31 EM]~[17.49 ER]-[58.30 Physical]~[9.32 HP%]~[74.07 DEF]~[4.53 ER]~[16.32 EM]-[31.10 CR]~[15.74 ATK%]~[41.67 DEF]~[5.10 DEF%]~[13.21 CD]]|sum:5771877.833493751|mean:19239.5927783125
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[3.50 CR]~[14.57 ATK%]~[22.53 CD]~[5.83 DEF%]-[311.00 ATK]~[12.43 CD]~[6.61 CR]~[50.92 DEF]~[6.56 DEF%]-[58.30 DEF%]~[19.43 CD]~[20.83 DEF]~[23.31 EM]~[17.49 ER]-[58.30 Physical]~[9.32 HP%]~[74.07 DEF]~[4.53 ER]~[16.32 EM]-[31.10 CR]~[15.74 ATK%]~[41.67 DEF]~[5.10 DEF%]~[13.21 CD]]|sum:5739404.657175001|mean:19131.348857250003
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[9.91 ATK%]~[5.83 CR]~[4.53 ER]~[19.68 DEF%]-[311.00 ATK]~[9.91 HP%]~[37.04 DEF]~[12.39 DEF%]~[34.97 EM]-[58.30 DEF%]~[31.13 ATK]~[11.01 ER]~[39.63 EM]~[8.16 HP%]-[58.30 DEF%]~[58.28 EM]~[4.66 ATK%]~[14.24 ER]~[4.66 HP%]-[187.00 EM]~[9.32 ATK%]~[39.35 DEF]~[8.74 HP%]~[13.21 CD]]|sum:5748973.857487502|mean:19163.246191625007
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[9.91 ATK%]~[5.83 CR]~[4.53 ER]~[19.68 DEF%]-[311.00 ATK]~[9.91 HP%]~[37.04 DEF]~[12.39 DEF%]~[34.97 EM]-[58.30 DEF%]~[31.13 ATK]~[11.01 ER]~[39.63 EM]~[8.16 HP%]-[58.30 DEF%]~[58.28 EM]~[4.66 ATK%]~[14.24 ER]~[4.66 HP%]-[187.00 EM]~[9.32 ATK%]~[39.35 DEF]~[8.74 HP%]~[13.21 CD]]|sum:5728618.710862501|mean:19095.395702875
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[29.18 ATK]~[5.83 DEF%]~[53.62 EM]~[11.66 ER]-[311.00 ATK]~[9.33 HP%]~[3.11 CR]~[6.56 DEF%]~[22.02 ER]-[46.60 ATK%]~[16.20 DEF]~[5.83 HP%]~[46.62 EM]~[13.61 CR]-[46.60 Cryo]~[19.45 ATK]~[13.98 ATK%]~[8.16 HP%]~[13.21 CD]-[35.90 Healing]~[37.03 DEF]~[5.44 CD]~[16.03 DEF%]~[10.36 ER]]|sum:5729253.700181251|mean:19097.512333937506
