best_fitness:21553.98244301574|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[5.83 CR]~[16.91 HP%]~[5.18 ER]~[43.98 DEF]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3326367.5242124693|mean:11087.891747374897
best_fitness:21553.98244301574|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[5.83 CR]~[16.91 HP%]~[5.18 ER]~[43.98 DEF]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3300960.948458163|mean:11003.20316152721
best_fitness:21553.98244301574|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[5.83 CR]~[16.91 HP%]~[5.18 ER]~[43.98 DEF]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3286638.316485949|mean:10955.461054953163
best_fitness:21679.249750324063|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[65.27 EM]~[9.33 HP%]~[5.44 CD]~[12.31 ER]]|sum:3266008.711629063|mean:10886.69570543021
best_fitness:21679.249750324063|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[65.27 EM]~[9.33 HP%]~[5.44 CD]~[12.31 ER]]|sum:3255651.760821455|mean:10852.172536071517
best_fitness:21679.249750324063|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[65.27 EM]~[9.33 HP%]~[5.44 CD]~[12.31 ER]]|sum:3179120.166754405|mean:10597.067222514683
best_fitness:21679.249750324063|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[65.27 EM]~[9.33 HP%]~[5.44 CD]~[12.31 ER]]|sum:3263904.654631803|mean:10879.68218210601
best_fitness:21679.249750324063|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[65.27 EM]~[9.33 HP%]~[5.44 CD]~[12.31 ER]]|sum:3234845.7036685245|mean:10782.819012228416
best_fitness:21679.249750324063|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[65.27 EM]~[9.33 HP%]~[5.44 CD]~[12.31 ER]]|sum:3235951.733744965|mean:10786.505779149884
best_fitness:21679.249750324063|best_individual:[[4780.00 HP]~[11.01 ER]~[6.22 CD]~[3.11 CR]~[20.99 HP%]-[311.00 ATK]~[37.03 DEF]~[10.49 HP%]~[15.54 CD]~[7.39 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[31.10 CR]~[65.27 EM]~[9.33 HP%]~[5.44 CD]~[12.31 ER]]|sum:3225944.4734129333|mean:10753.148244709777
