best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3251137.145114096|mean:10837.123817046986
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3293684.995955268|mean:10978.94998651756
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3264307.0258794446|mean:10881.023419598148
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3263525.9253393454|mean:10878.41975113115
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3278890.339859172|mean:10929.63446619724
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3207967.351210379|mean:10693.224504034597
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3203503.8473799545|mean:10678.346157933182
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3172408.2787313135|mean:10574.694262437712
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3151215.9251943566|mean:10504.053083981189
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3209887.1737672603|mean:10699.623912557534
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3164810.2393714506|mean:10549.367464571502
best_fitness:22477.992721736475|best_individual:[[4780.00 HP]~[10.50 ATK%]~[7.39 CR]~[13.98 CD]~[32.64 EM]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3154397.2687822767|mean:10514.657562607588
